pair_index,time_s,flow_rate_m3_s,flow_rate_L_s
5.500000000000000000e+01,2.800000000000000405e-03,3.785132793471157782e-04,3.785132793471157608e-01
5.600000000000000000e+01,2.850000000000000103e-03,3.791758718688120517e-04,3.791758718688120755e-01
5.700000000000000000e+01,2.900000000000000234e-03,3.792831423168955803e-04,3.792831423168955829e-01
5.800000000000000000e+01,2.950000000000000365e-03,3.794384109981770691e-04,3.794384109981770448e-01
5.900000000000000000e+01,3.000000000000000062e-03,3.796114170408356977e-04,3.796114170408356747e-01
6.000000000000000000e+01,3.050000000000000194e-03,3.791178554288133920e-04,3.791178554288133773e-01
6.100000000000000000e+01,3.100000000000000325e-03,3.804633913152935835e-04,3.804633913152936087e-01
6.200000000000000000e+01,3.150000000000000456e-03,3.797527984335838077e-04,3.797527984335837825e-01
6.300000000000000000e+01,3.200000000000000153e-03,3.798818877860868771e-04,3.798818877860868914e-01
6.400000000000000000e+01,3.250000000000000284e-03,3.799730094355292104e-04,3.799730094355291965e-01
6.500000000000000000e+01,3.300000000000000416e-03,3.800858690378643525e-04,3.800858690378643434e-01
6.600000000000000000e+01,3.350000000000000113e-03,3.795308571562022921e-04,3.795308571562022726e-01
6.700000000000000000e+01,3.400000000000000244e-03,3.799303005391785077e-04,3.799303005391785337e-01
6.800000000000000000e+01,3.450000000000000375e-03,3.800261257661244536e-04,3.800261257661244341e-01
6.900000000000000000e+01,3.500000000000000507e-03,3.801979126859264882e-04,3.801979126859265090e-01
7.000000000000000000e+01,3.550000000000000204e-03,3.802842348402080369e-04,3.802842348402080130e-01
7.100000000000000000e+01,3.600000000000000335e-03,3.798377339651633341e-04,3.798377339651633489e-01
7.200000000000000000e+01,3.650000000000000466e-03,3.799511946098118893e-04,3.799511946098119153e-01
7.300000000000000000e+01,3.700000000000000164e-03,3.800501858849354773e-04,3.800501858849354986e-01
7.400000000000000000e+01,3.750000000000000295e-03,3.794958337883635861e-04,3.794958337883636013e-01
7.500000000000000000e+01,3.800000000000000426e-03,3.799814240502344810e-04,3.799814240502344953e-01
7.600000000000000000e+01,3.850000000000000124e-03,3.799377775671095004e-04,3.799377775671095026e-01
7.700000000000000000e+01,3.900000000000000255e-03,3.800763612315780950e-04,3.800763612315781192e-01
7.800000000000000000e+01,3.950000000000000386e-03,3.794167014113859911e-04,3.794167014113860037e-01
7.900000000000000000e+01,4.000000000000000083e-03,3.796413559908577836e-04,3.796413559908577984e-01
8.000000000000000000e+01,4.049999999999999781e-03,3.792183920152192365e-04,3.792183920152192300e-01
8.100000000000000000e+01,4.099999999999999478e-03,3.792172521324847019e-04,3.792172521324846945e-01
8.200000000000000000e+01,4.150000000000000043e-03,3.790805826452974697e-04,3.790805826452974814e-01
8.300000000000000000e+01,4.199999999999999740e-03,3.790511422144414357e-04,3.790511422144414166e-01
8.400000000000000000e+01,4.250000000000000305e-03,3.787785700586483685e-04,3.787785700586483451e-01
8.500000000000000000e+01,4.300000000000000003e-03,3.785589716727105845e-04,3.785589716727105758e-01
8.600000000000000000e+01,4.349999999999999700e-03,3.781705608175526005e-04,3.781705608175526256e-01
8.700000000000000000e+01,4.400000000000000265e-03,3.783723910603467859e-04,3.783723910603468132e-01
8.800000000000000000e+01,4.449999999999999963e-03,3.781305204478641806e-04,3.781305204478641602e-01
8.900000000000000000e+01,4.499999999999999660e-03,3.777429177105456068e-04,3.777429177105456337e-01
9.000000000000000000e+01,4.550000000000000225e-03,3.779908021789835353e-04,3.779908021789835093e-01
9.100000000000000000e+01,4.599999999999999922e-03,3.780351537903831874e-04,3.780351537903831605e-01
9.200000000000000000e+01,4.649999999999999620e-03,3.776028983463184437e-04,3.776028983463184385e-01
9.300000000000000000e+01,4.700000000000000185e-03,3.772059047777140449e-04,3.772059047777140406e-01
9.400000000000000000e+01,4.749999999999999882e-03,3.777988792405733505e-04,3.777988792405733709e-01
9.500000000000000000e+01,4.799999999999999580e-03,3.770960671074116916e-04,3.770960671074116699e-01
9.600000000000000000e+01,4.850000000000000144e-03,3.774533586605801640e-04,3.774533586605801627e-01
9.700000000000000000e+01,4.899999999999999842e-03,3.766432906086350486e-04,3.766432906086350507e-01
9.800000000000000000e+01,4.949999999999999539e-03,3.769552780740346087e-04,3.769552780740346165e-01
9.900000000000000000e+01,5.000000000000000104e-03,3.760108118018881088e-04,3.760108118018881118e-01
1.000000000000000000e+02,5.049999999999999802e-03,3.763395401015743615e-04,3.763395401015743880e-01
1.010000000000000000e+02,5.100000000000000366e-03,3.757355541423399586e-04,3.757355541423399448e-01
1.020000000000000000e+02,5.150000000000000064e-03,3.764040299055569768e-04,3.764040299055569916e-01
1.030000000000000000e+02,5.199999999999999761e-03,3.763130949699110858e-04,3.763130949699111105e-01
1.040000000000000000e+02,5.250000000000000326e-03,3.763882046042348289e-04,3.763882046042348328e-01
1.050000000000000000e+02,5.300000000000000024e-03,3.764569935954915295e-04,3.764569935954915070e-01
1.060000000000000000e+02,5.349999999999999721e-03,3.760835886963389478e-04,3.760835886963389552e-01
1.070000000000000000e+02,5.400000000000000286e-03,3.765692675780784476e-04,3.765692675780784593e-01
1.080000000000000000e+02,5.449999999999999983e-03,3.759930250920605669e-04,3.759930250920605621e-01
1.090000000000000000e+02,5.499999999999999681e-03,3.761112655149958855e-04,3.761112655149959072e-01
1.100000000000000000e+02,5.550000000000000246e-03,3.760242668747036275e-04,3.760242668747036388e-01
1.110000000000000000e+02,5.599999999999999943e-03,3.761284144928976202e-04,3.761284144928976336e-01
1.120000000000000000e+02,5.649999999999999641e-03,3.757949189024282024e-04,3.757949189024282211e-01
1.130000000000000000e+02,5.700000000000000205e-03,3.755136278854295296e-04,3.755136278854295240e-01
1.140000000000000000e+02,5.749999999999999903e-03,3.769699952694986539e-04,3.769699952694986478e-01
1.150000000000000000e+02,5.799999999999999600e-03,3.762540010497274364e-04,3.762540010497274490e-01
1.160000000000000000e+02,5.850000000000000165e-03,3.767310663107538665e-04,3.767310663107538704e-01
1.170000000000000000e+02,5.899999999999999863e-03,3.767122071353607511e-04,3.767122071353607438e-01
1.180000000000000000e+02,5.949999999999999560e-03,3.769746376786684136e-04,3.769746376786684006e-01
1.190000000000000000e+02,6.000000000000000125e-03,3.768445484216763298e-04,3.768445484216763064e-01
1.200000000000000000e+02,6.049999999999999822e-03,3.769124579975620479e-04,3.769124579975620670e-01
1.210000000000000000e+02,6.100000000000000387e-03,3.769909731188847424e-04,3.769909731188847424e-01
1.220000000000000000e+02,6.150000000000000085e-03,3.772416636402340772e-04,3.772416636402340928e-01
1.230000000000000000e+02,6.199999999999999782e-03,3.774084519001253139e-04,3.774084519001253413e-01
1.240000000000000000e+02,6.250000000000000347e-03,3.767943151587507247e-04,3.767943151587507256e-01
1.250000000000000000e+02,6.300000000000000044e-03,3.777408385710318397e-04,3.777408385710318561e-01
1.260000000000000000e+02,6.349999999999999742e-03,3.774872225432160324e-04,3.774872225432160389e-01
1.270000000000000000e+02,6.400000000000000307e-03,3.777007402184324666e-04,3.777007402184324736e-01
1.280000000000000000e+02,6.450000000000000004e-03,3.780391917651363667e-04,3.780391917651363398e-01
1.290000000000000000e+02,6.499999999999999702e-03,3.781803693864918135e-04,3.781803693864917992e-01
1.300000000000000000e+02,6.550000000000000266e-03,3.781316795933096077e-04,3.781316795933096220e-01
1.310000000000000000e+02,6.599999999999999964e-03,3.776594276733549250e-04,3.776594276733549194e-01
1.320000000000000000e+02,6.649999999999999661e-03,3.783103778874623985e-04,3.783103778874624123e-01
1.330000000000000000e+02,6.700000000000000226e-03,3.778659440505857127e-04,3.778659440505857114e-01
1.340000000000000000e+02,6.749999999999999924e-03,3.783543216356977470e-04,3.783543216356977656e-01
1.350000000000000000e+02,6.799999999999999621e-03,3.781546606836944514e-04,3.781546606836944657e-01
1.360000000000000000e+02,6.850000000000000186e-03,3.788584706124773025e-04,3.788584706124772938e-01
1.370000000000000000e+02,6.899999999999999883e-03,3.788696712040462758e-04,3.788696712040462988e-01
1.380000000000000000e+02,6.950000000000000448e-03,3.789994605698607678e-04,3.789994605698607799e-01
1.390000000000000000e+02,7.000000000000000146e-03,3.793632281656220497e-04,3.793632281656220684e-01
1.400000000000000000e+02,7.049999999999999843e-03,3.795708039388204897e-04,3.795708039388204780e-01
1.410000000000000000e+02,7.100000000000000408e-03,3.797938493346857125e-04,3.797938493346857403e-01
1.420000000000000000e+02,7.150000000000000105e-03,3.791408354156379046e-04,3.791408354156379223e-01
1.430000000000000000e+02,7.199999999999999803e-03,3.800749754028162359e-04,3.800749754028162619e-01
1.440000000000000000e+02,7.250000000000000368e-03,3.800326219893100828e-04,3.800326219893100932e-01
1.450000000000000000e+02,7.300000000000000065e-03,3.790395182140896013e-04,3.790395182140895991e-01
1.460000000000000000e+02,7.349999999999999763e-03,3.807708507825586087e-04,3.807708507825586230e-01
1.470000000000000000e+02,7.400000000000000328e-03,3.797320601018976637e-04,3.797320601018976394e-01
1.480000000000000000e+02,7.450000000000000025e-03,3.797183778014432591e-04,3.797183778014432409e-01
1.490000000000000000e+02,7.499999999999999722e-03,3.797604439097288366e-04,3.797604439097288509e-01
1.500000000000000000e+02,7.550000000000000287e-03,3.799655075465980234e-04,3.799655075465980247e-01
1.510000000000000000e+02,7.599999999999999985e-03,3.792498351537003875e-04,3.792498351537003654e-01
1.520000000000000000e+02,7.649999999999999682e-03,3.803014240847713045e-04,3.803014240847713001e-01
1.530000000000000000e+02,7.700000000000000247e-03,3.802585103817514192e-04,3.802585103817514023e-01
1.540000000000000000e+02,7.749999999999999944e-03,3.800379657365511739e-04,3.800379657365511865e-01
1.550000000000000000e+02,7.799999999999999642e-03,3.806882952479226389e-04,3.806882952479226367e-01
1.560000000000000000e+02,7.850000000000001074e-03,3.803851945461512269e-04,3.803851945461512174e-01
1.570000000000000000e+02,7.900000000000000772e-03,3.807050466915860984e-04,3.807050466915861131e-01
1.580000000000000000e+02,7.950000000000000469e-03,3.808473933014481258e-04,3.808473933014481227e-01
1.590000000000000000e+02,8.000000000000000167e-03,3.810056155149081007e-04,3.810056155149080803e-01
1.600000000000000000e+02,8.049999999999999864e-03,3.814047580913610715e-04,3.814047580913610958e-01
1.610000000000000000e+02,8.099999999999999561e-03,3.816737779328208255e-04,3.816737779328208124e-01
1.620000000000000000e+02,8.149999999999999259e-03,3.820420340796638133e-04,3.820420340796638059e-01
1.630000000000000000e+02,8.200000000000000691e-03,3.824744920285448580e-04,3.824744920285448324e-01
1.640000000000000000e+02,8.250000000000000389e-03,3.821423608684180215e-04,3.821423608684180184e-01
1.650000000000000000e+02,8.300000000000000086e-03,3.821363627255698375e-04,3.821363627255698336e-01
1.660000000000000000e+02,8.349999999999999784e-03,3.823630367196131745e-04,3.823630367196131918e-01
1.670000000000000000e+02,8.399999999999999481e-03,3.822570590377196960e-04,3.822570590377196709e-01
1.680000000000000000e+02,8.450000000000000913e-03,3.820965611343567084e-04,3.820965611343566937e-01
1.690000000000000000e+02,8.500000000000000611e-03,3.823862262491362009e-04,3.823862262491362074e-01
1.700000000000000000e+02,8.550000000000000308e-03,3.822513112744925197e-04,3.822513112744925223e-01
1.710000000000000000e+02,8.600000000000000006e-03,3.819776739937669717e-04,3.819776739937669752e-01
1.720000000000000000e+02,8.649999999999999703e-03,3.820923128933737542e-04,3.820923128933737534e-01
1.730000000000000000e+02,8.699999999999999400e-03,3.821423940890947735e-04,3.821423940890947835e-01
1.740000000000000000e+02,8.750000000000000833e-03,3.826764264584833070e-04,3.826764264584833208e-01
1.750000000000000000e+02,8.800000000000000530e-03,3.828174143123641788e-04,3.828174143123641571e-01
1.760000000000000000e+02,8.850000000000000228e-03,3.831214737267696108e-04,3.831214737267696346e-01
1.770000000000000000e+02,8.899999999999999925e-03,3.838639450859874093e-04,3.838639450859874236e-01
1.780000000000000000e+02,8.949999999999999623e-03,3.838025606429785845e-04,3.838025606429785741e-01
1.790000000000000000e+02,8.999999999999999320e-03,3.841654539899822234e-04,3.841654539899821974e-01
1.800000000000000000e+02,9.050000000000000752e-03,3.842723849203580214e-04,3.842723849203580344e-01
1.810000000000000000e+02,9.100000000000000450e-03,3.842178174471611875e-04,3.842178174471612140e-01
1.820000000000000000e+02,9.150000000000000147e-03,3.844139536706041370e-04,3.844139536706041582e-01
1.830000000000000000e+02,9.199999999999999845e-03,3.844204651292164017e-04,3.844204651292164043e-01
1.840000000000000000e+02,9.249999999999999542e-03,3.840830057084955408e-04,3.840830057084955174e-01
1.850000000000000000e+02,9.300000000000000974e-03,3.849757167244678268e-04,3.849757167244678424e-01
1.860000000000000000e+02,9.350000000000000672e-03,3.844840238848158784e-04,3.844840238848158953e-01
1.870000000000000000e+02,9.400000000000000369e-03,3.845055185870941577e-04,3.845055185870941417e-01
1.880000000000000000e+02,9.450000000000000067e-03,3.848645758286534839e-04,3.848645758286534657e-01
1.890000000000000000e+02,9.499999999999999764e-03,3.847097755798819531e-04,3.847097755798819518e-01
1.900000000000000000e+02,9.549999999999999462e-03,3.842702099056286100e-04,3.842702099056286014e-01
1.910000000000000000e+02,9.600000000000000894e-03,3.848305373780329277e-04,3.848305373780329108e-01
1.920000000000000000e+02,9.650000000000000591e-03,3.845621104355212644e-04,3.845621104355212427e-01
1.930000000000000000e+02,9.700000000000000289e-03,3.849643067598110843e-04,3.849643067598110813e-01
1.940000000000000000e+02,9.749999999999999986e-03,3.849476044401308264e-04,3.849476044401308195e-01
1.950000000000000000e+02,9.799999999999999684e-03,3.847863399539306456e-04,3.847863399539306339e-01
1.960000000000000000e+02,9.849999999999999381e-03,3.848043587019466557e-04,3.848043587019466805e-01
1.970000000000000000e+02,9.900000000000000813e-03,3.853388301260856448e-04,3.853388301260856630e-01
1.980000000000000000e+02,9.950000000000000511e-03,3.849954298015582314e-04,3.849954298015582088e-01
1.990000000000000000e+02,1.000000000000000021e-02,3.850207342052058791e-04,3.850207342052058834e-01
2.000000000000000000e+02,1.004999999999999991e-02,3.854217710948401013e-04,3.854217710948401043e-01
2.010000000000000000e+02,1.009999999999999960e-02,3.845750104898466859e-04,3.845750104898466581e-01
2.020000000000000000e+02,1.015000000000000104e-02,3.846771158544330790e-04,3.846771158544330937e-01
2.030000000000000000e+02,1.020000000000000073e-02,3.843297288215968637e-04,3.843297288215968832e-01
2.040000000000000000e+02,1.025000000000000043e-02,3.849190479575718385e-04,3.849190479575718138e-01
2.050000000000000000e+02,1.030000000000000013e-02,3.846219885793285623e-04,3.846219885793285553e-01
2.060000000000000000e+02,1.034999999999999983e-02,3.853018792448251162e-04,3.853018792448251184e-01
2.070000000000000000e+02,1.039999999999999952e-02,3.850893352506275778e-04,3.850893352506275513e-01
2.080000000000000000e+02,1.045000000000000095e-02,3.852805980799801780e-04,3.852805980799801633e-01
2.090000000000000000e+02,1.050000000000000065e-02,3.851738498626830964e-04,3.851738498626831042e-01
2.100000000000000000e+02,1.055000000000000035e-02,3.851073195139622556e-04,3.851073195139622651e-01
2.110000000000000000e+02,1.060000000000000005e-02,3.853146638306413261e-04,3.853146638306413352e-01
2.120000000000000000e+02,1.064999999999999974e-02,3.851676955323421231e-04,3.851676955323421470e-01
2.130000000000000000e+02,1.069999999999999944e-02,3.850929660901666516e-04,3.850929660901666329e-01
2.140000000000000000e+02,1.075000000000000087e-02,3.851576961176327875e-04,3.851576961176327862e-01
2.150000000000000000e+02,1.080000000000000057e-02,3.849356049274132150e-04,3.849356049274131886e-01
2.160000000000000000e+02,1.085000000000000027e-02,3.847064722354476447e-04,3.847064722354476274e-01
2.170000000000000000e+02,1.089999999999999997e-02,3.852734845528415857e-04,3.852734845528416052e-01
2.180000000000000000e+02,1.094999999999999966e-02,3.853870429008157683e-04,3.853870429008157683e-01
2.190000000000000000e+02,1.099999999999999936e-02,3.850101728048674495e-04,3.850101728048674343e-01
2.200000000000000000e+02,1.105000000000000079e-02,3.853264303308406944e-04,3.853264303308406857e-01
2.210000000000000000e+02,1.110000000000000049e-02,3.855161963889261988e-04,3.855161963889262022e-01
2.220000000000000000e+02,1.115000000000000019e-02,3.848864178403655256e-04,3.848864178403655356e-01
2.230000000000000000e+02,1.119999999999999989e-02,3.851103267119934280e-04,3.851103267119934115e-01
2.240000000000000000e+02,1.124999999999999958e-02,3.852245022319611347e-04,3.852245022319611412e-01
2.250000000000000000e+02,1.130000000000000102e-02,3.851643766142219191e-04,3.851643766142219261e-01
2.260000000000000000e+02,1.135000000000000071e-02,3.854482205764409421e-04,3.854482205764409586e-01
2.270000000000000000e+02,1.140000000000000041e-02,3.856887085295517860e-04,3.856887085295517825e-01
2.280000000000000000e+02,1.145000000000000011e-02,3.857480635412297259e-04,3.857480635412297021e-01
2.290000000000000000e+02,1.149999999999999981e-02,3.862179401132869198e-04,3.862179401132869172e-01
2.300000000000000000e+02,1.154999999999999950e-02,3.861122635471632382e-04,3.861122635471632147e-01
2.310000000000000000e+02,1.160000000000000094e-02,3.861552193334208969e-04,3.861552193334208960e-01
2.320000000000000000e+02,1.165000000000000063e-02,3.859892207221273094e-04,3.859892207221273241e-01
2.330000000000000000e+02,1.170000000000000033e-02,3.862626608757296930e-04,3.862626608757296909e-01
2.340000000000000000e+02,1.175000000000000003e-02,3.856430456671286282e-04,3.856430456671286477e-01
2.350000000000000000e+02,1.179999999999999973e-02,3.859184595827501256e-04,3.859184595827501174e-01
2.360000000000000000e+02,1.184999999999999942e-02,3.858674378508302155e-04,3.858674378508302194e-01
2.370000000000000000e+02,1.190000000000000085e-02,3.858539002220194537e-04,3.858539002220194303e-01
2.380000000000000000e+02,1.195000000000000055e-02,3.857592042104423429e-04,3.857592042104423524e-01
2.390000000000000000e+02,1.200000000000000025e-02,3.862176565655918849e-04,3.862176565655918714e-01
2.400000000000000000e+02,1.204999999999999995e-02,3.863118294203640637e-04,3.863118294203640724e-01
2.410000000000000000e+02,1.209999999999999964e-02,3.866179210384920717e-04,3.866179210384920739e-01
2.420000000000000000e+02,1.215000000000000108e-02,3.867908719754827875e-04,3.867908719754827862e-01
2.430000000000000000e+02,1.220000000000000077e-02,3.867300129606714956e-04,3.867300129606714987e-01
2.440000000000000000e+02,1.225000000000000047e-02,3.869466872076003866e-04,3.869466872076003927e-01
2.450000000000000000e+02,1.230000000000000017e-02,3.866093349135839513e-04,3.866093349135839574e-01
2.460000000000000000e+02,1.234999999999999987e-02,3.867352877498562535e-04,3.867352877498562713e-01
2.470000000000000000e+02,1.239999999999999956e-02,3.867265913984277849e-04,3.867265913984277992e-01
2.480000000000000000e+02,1.245000000000000100e-02,3.870643981420884773e-04,3.870643981420884838e-01
2.490000000000000000e+02,1.250000000000000069e-02,3.868543417211678078e-04,3.868543417211677826e-01
2.500000000000000000e+02,1.255000000000000039e-02,3.869883349677947690e-04,3.869883349677947781e-01
2.510000000000000000e+02,1.260000000000000009e-02,3.866817188004283514e-04,3.866817188004283423e-01
2.520000000000000000e+02,1.264999999999999979e-02,3.866202311827335010e-04,3.866202311827334759e-01
2.530000000000000000e+02,1.269999999999999948e-02,3.865154370646236236e-04,3.865154370646236015e-01
2.540000000000000000e+02,1.275000000000000092e-02,3.865719832590137016e-04,3.865719832590137073e-01
2.550000000000000000e+02,1.280000000000000061e-02,3.871975692216033781e-04,3.871975692216033660e-01
2.560000000000000000e+02,1.285000000000000031e-02,3.867230353464268526e-04,3.867230353464268799e-01
2.570000000000000000e+02,1.290000000000000001e-02,3.871077074226942955e-04,3.871077074226942916e-01
2.580000000000000000e+02,1.294999999999999971e-02,3.872276157047604213e-04,3.872276157047604417e-01
2.590000000000000000e+02,1.300000000000000114e-02,3.874857189164876686e-04,3.874857189164876425e-01
2.600000000000000000e+02,1.305000000000000084e-02,3.873934625260733590e-04,3.873934625260733733e-01
2.610000000000000000e+02,1.310000000000000053e-02,3.880222905967092048e-04,3.880222905967092295e-01
2.620000000000000000e+02,1.315000000000000023e-02,3.879719863263375828e-04,3.879719863263375590e-01
2.630000000000000000e+02,1.319999999999999993e-02,3.879945897102161641e-04,3.879945897102161645e-01
2.640000000000000000e+02,1.324999999999999963e-02,3.883649140177772470e-04,3.883649140177772296e-01
2.650000000000000000e+02,1.330000000000000106e-02,3.884293576288866596e-04,3.884293576288866401e-01
2.660000000000000000e+02,1.335000000000000075e-02,3.887219079856306598e-04,3.887219079856306658e-01
2.670000000000000000e+02,1.340000000000000045e-02,3.885583616081142227e-04,3.885583616081142444e-01
2.680000000000000000e+02,1.345000000000000015e-02,3.890254630326095788e-04,3.890254630326095975e-01
2.690000000000000000e+02,1.349999999999999985e-02,3.889485295236368699e-04,3.889485295236368434e-01
2.700000000000000000e+02,1.354999999999999954e-02,3.888750248868688849e-04,3.888750248868688697e-01
2.710000000000000000e+02,1.360000000000000098e-02,3.892966535192669895e-04,3.892966535192670108e-01
2.720000000000000000e+02,1.365000000000000067e-02,3.898346405834031436e-04,3.898346405834031692e-01
2.730000000000000000e+02,1.370000000000000037e-02,3.901239319054013491e-04,3.901239319054013444e-01
2.740000000000000000e+02,1.375000000000000007e-02,3.905281329304177164e-04,3.905281329304177151e-01
2.750000000000000000e+02,1.379999999999999977e-02,3.909885964580935187e-04,3.909885964580935291e-01
2.760000000000000000e+02,1.385000000000000120e-02,3.911669147369726120e-04,3.911669147369726263e-01
2.770000000000000000e+02,1.390000000000000090e-02,3.917133370195067252e-04,3.917133370195067243e-01
2.780000000000000000e+02,1.395000000000000059e-02,3.916431919540125308e-04,3.916431919540125373e-01
2.790000000000000000e+02,1.400000000000000029e-02,3.921179485418070437e-04,3.921179485418070376e-01
2.800000000000000000e+02,1.404999999999999999e-02,3.927938722573452420e-04,3.927938722573452446e-01
2.810000000000000000e+02,1.409999999999999969e-02,3.930463332214862967e-04,3.930463332214862993e-01
2.820000000000000000e+02,1.415000000000000112e-02,3.934389037304553485e-04,3.934389037304553693e-01
2.830000000000000000e+02,1.420000000000000082e-02,3.943106672097386142e-04,3.943106672097386189e-01
2.840000000000000000e+02,1.425000000000000051e-02,3.947664619612040529e-04,3.947664619612040737e-01
2.850000000000000000e+02,1.430000000000000021e-02,3.954911940491086350e-04,3.954911940491086519e-01
2.860000000000000000e+02,1.434999999999999991e-02,3.972680231421069834e-04,3.972680231421069630e-01
2.870000000000000000e+02,1.439999999999999961e-02,3.989366221571938364e-04,3.989366221571938320e-01
2.880000000000000000e+02,1.445000000000000104e-02,4.018434150927815800e-04,4.018434150927815973e-01
2.890000000000000000e+02,1.450000000000000074e-02,4.056237912774504932e-04,4.056237912774505183e-01
